CustomerID,TotalSpend,TotalQuantity,InvoiceCount,Cluster,CustomerSegment
12346.0,77183.6,74215,1,1,High Value
12347.0,4310.0,2458,7,0,Low Value
12348.0,1797.24,2341,4,0,Low Value
12349.0,1757.55,631,1,0,Low Value
12350.0,334.4,197,1,0,Low Value
12352.0,2506.04,536,8,0,Low Value
12353.0,89.0,20,1,0,Low Value
12354.0,1079.4,530,1,0,Low Value
12355.0,459.4,240,1,0,Low Value
12356.0,2811.43,1591,3,0,Low Value
12357.0,6207.67,2708,1,0,Low Value
12358.0,1168.06,248,2,0,Low Value
12359.0,6372.58,1622,4,0,Low Value
12360.0,2662.06,1165,3,0,Low Value
12361.0,189.9,91,1,0,Low Value
12362.0,5226.23,2229,10,0,Low Value
12363.0,552.0,408,2,0,Low Value
12364.0,1313.1,1506,4,0,Low Value
12365.0,641.38,174,2,0,Low Value
12367.0,168.9,173,1,0,Low Value
12370.0,3545.69,2353,4,0,Low Value
12371.0,1887.96,591,2,0,Low Value
12372.0,1298.04,794,3,0,Low Value
12373.0,364.6,197,1,0,Low Value
12374.0,742.9300000000001,342,1,0,Low Value
12375.0,457.5,178,2,0,Low Value
12377.0,1628.12,944,2,0,Low Value
12378.0,4008.62,2529,1,0,Low Value
12379.0,852.24,407,2,0,Low Value
12380.0,2724.81,1127,4,0,Low Value
12381.0,1845.31,808,5,0,Low Value
12383.0,1850.56,1532,5,0,Low Value
12384.0,585.27,126,2,0,Low Value
12386.0,401.9,354,2,0,Low Value
12388.0,2780.66,1462,6,0,Low Value
12390.0,549.84,353,1,0,Low Value
12391.0,460.89,300,1,0,Low Value
12393.0,1582.6000000000001,816,4,0,Low Value
12394.0,1272.48,819,2,0,Low Value
12395.0,3018.63,2118,12,0,Low Value
12397.0,2409.9,1263,2,0,Low Value
12398.0,1635.6599999999999,1394,1,0,Low Value
12399.0,1108.65,1178,4,0,Low Value
12401.0,84.3,11,1,0,Low Value
12402.0,225.6,94,1,0,Low Value
12403.0,427.7,96,1,0,Low Value
12405.0,1710.39,857,1,0,Low Value
12406.0,3415.3,1818,2,0,Low Value
12407.0,1708.1200000000001,1416,5,0,Low Value
12408.0,2888.55,1409,5,0,Low Value
12409.0,11072.67,5551,3,0,Low Value
12410.0,693.3299999999999,211,2,0,Low Value
12412.0,1226.88,829,3,0,Low Value
12413.0,758.1,286,3,0,Low Value
12414.0,562.41,300,3,0,Low Value
12415.0,124914.53,77374,21,1,High Value
12417.0,3649.1,1552,9,0,Low Value
12418.0,668.58,407,1,0,Low Value
12420.0,600.39,345,1,0,Low Value
12421.0,807.04,484,4,0,Low Value
12422.0,803.5600000000001,370,3,0,Low Value
12423.0,1859.31,1339,8,0,Low Value
12424.0,1760.96,740,2,0,Low Value
12425.0,777.2,496,1,0,Low Value
12426.0,582.73,258,1,0,Low Value
12427.0,825.8,533,3,0,Low Value
